"Story","Title","Result","Date","Stability","Duration (s)"
"Realizar compras de libros","Realizar la compra de libros para para visualizar el valor unitario y valor total","PENDING","2019-02-28T14:20:42.725-05:00[America/Bogota]","0.0","2.37"
"Realizar compras de libros","Realizar la compra de libros para para visualizar el coste total de cada libro","ERROR","2019-02-28T18:55:51.534-05:00[America/Bogota]","0.0","31.67"
"Realizar compras de libros","Realizar la compra de libros para visualizar el valor total","FAILURE","2019-03-01T00:41:35.059-05:00[America/Bogota]","0.0","14.51"
"Ingresar a Google y digitar la prueba Pruebaz","Realizar la compra de libros para para visualizar el coste total de cada libro","SUCCESS","2019-08-21T22:15:41.706-05:00[America/Bogota]","0.0","9.87"
"Ingresar a Google y digitar la prueba Pruebaz","Ingresar a la pagina de Google y digitar la palabra Pruebaz, verificar que aparezca la palabra correcta ""Pruebas""","SUCCESS","2019-09-02T20:42:54.359-05:00[America/Bogota]","0.0","12.24"
"Ingresar a Google y digitar la prueba Pruebaz","Ingresar a Google y digitar la palabra Pruebaz, verificar que aparezca la palabra  ""Pruebas"" y validar que la lista de resultados sea mayor a 6","SUCCESS","2019-09-02T21:26:04.759-05:00[America/Bogota]","0.0","12.64"
